epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1107.37,1.91038,2.68897,1.74396,0.42256,0.36597,0.32189,0.14287,1.8858,2.17745,1.73816,0.00999574,0.00333191,0.00999574,0.00333191,0.00999574,0.00333191,0.00999574,0.00333191
2,2061.23,1.90068,2.2811,1.71098,0.40152,0.33737,0.30456,0.13752,1.93521,2.30156,1.78656,0.0195998,0.00653327,0.0195998,0.00653327,0.0195998,0.00653327,0.0195998,0.00653327
3,2919.45,1.97618,2.44134,1.80202,0.33262,0.31342,0.24546,0.10766,1.96889,2.44242,1.83079,0.0288079,0.00960264,0.0288079,0.00960264,0.0288079,0.00960264,0.0288079,0.00960264
4,4108.38,1.97106,2.45565,1.83706,0.40596,0.36731,0.32124,0.13796,1.92661,2.27606,1.84445,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4993.2,1.89791,2.29147,1.77705,0.44889,0.40563,0.37696,0.17529,1.81881,2.05942,1.74584,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5868.92,1.8435,2.17533,1.72979,0.48653,0.43003,0.41641,0.1996,1.77725,1.93777,1.7109,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6763.44,1.7976,2.09101,1.69657,0.5239,0.44462,0.44581,0.21649,1.74209,1.87169,1.68652,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,7675.75,1.77235,2.02395,1.67599,0.52235,0.46945,0.46137,0.22704,1.71261,1.81814,1.66847,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,8568.62,1.75006,1.97704,1.66247,0.5312,0.48826,0.47593,0.23527,1.69733,1.76212,1.64468,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,9444.04,1.72719,1.91754,1.63752,0.5562,0.48326,0.49754,0.25119,1.66716,1.72291,1.616,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,10316.4,1.70183,1.87773,1.61928,0.56647,0.48639,0.50403,0.25744,1.65496,1.69729,1.62405,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
